tweet,bullying
Kim Kardashian has had marriages that didn't stretch as long as ,1
Kim Kardashian has had marriages that didn't stretch as long as ,1
Sassy...? More like femme bots than killer blondes... ,1
"How the fuck are they ""models""? ",1
"How the fuck are they ""models""? ",1
"@mykitchenrules  The girls are bringing some ""Sassy-ges"" to the table.",1
"@mykitchenrules  The girls are bringing some ""Sassy-ges"" to the table.",1
"Just me, or hot blondes on  not at all hot?? Just average!",1
"""@NewIdeamagazine:They weren't kidding when they said deconstructed! "" Yeh. Seen better shit in women's magazi... Oh. Right...Sorry ",1
Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes. ,1
Who was responsible for convincing these girls they were so pretty? ,1
 OH MY GAWD WE ARE LIKE SO HOT I CAN'T EVEN... http://t.co/yisKQvhmkH,1
@mykitchenrules did you find Katie and Nikki in the line for Mt Druitt's next top model? ,1
"Ugh these #KillerBlondes are killer boring, and what's with spreading their dna all over the table? Unhygienic -and- gross! 2015 ",1
"Ugh these #KillerBlondes are killer boring, and what's with spreading their dna all over the table? Unhygienic -and- gross! 2015 ",1
@_saral93 not to mention these same girls on  have super inflated egos considering they didn't cook that well and aren't very nice,1
"Yes, we get it. You're pretty. Tone down the self promo and just cook! @mykitchenrules ",1
"If I hear ""hot"" ""pretty"" ""sassy"" ""like us"" one more time.. I will deconstruct..  #killerblondes",1
"If I hear ""hot"" ""pretty"" ""sassy"" ""like us"" one more time.. I will deconstruct..  #killerblondes",1
" maybe you girls should go back to cutting up cows and pigs, don't quit your day job!! @mykitchenrules",1
nothing worse than a raw cock....oh wait....,1
nothing worse than a raw cock....oh wait....,1
Guess one of em isn't too bad ,1
Guess one of em isn't too bad ,1
Makeup time for Katie &amp,1
That was annoying “@raachel_19: If she calls her own self pretty one more time.. I'm gonna vom. ”,1
The girls are going through this is fucked or are they sucking Colin's cock! ,1
"These 2 delusional, narcissistic hostesses on  make me want to vomit my own dinner up.",1
"These 2 delusional, narcissistic hostesses on  make me want to vomit my own dinner up.",1
"the theme for their instant restaurant appears to be ""barbie's dream narcissism kitchen"" 💋 ",1
The girls can cook for me anytime. Just not hot pot... or spatchcock. ,1
These girls are pretty...awful. #gohome ,1
@mykitchenrules if the vapid duo of conceit get through tonight I'm not watching again #suicideblondes ,1
They starting to act and look like a couple of B grade hookers to me ,1
Maybe the girls should have less tickets on themselves and worry about the cooking. ,1
Maybe the girls should have less tickets on themselves and worry about the cooking. ,1
"“@walslab: Out of the two blondes, which one is Beavis and which is Butthead ” Does it matter?",1
"those blond girls make me crazy, they are so annoying ",1
"those blond girls make me crazy, they are so annoying ",1
Catching up with . If society judges these two as pretty then I really have no friggin hope.,1
"If you talk the talk, you gotta walk the walk!! Do the girls know the recipe for humble pie??? ",1
"If you talk the talk, you gotta walk the walk!! Do the girls know the recipe for humble pie??? ",1
@mykitchenrules I think the pink has gone to the girls head #imbeautiful ,1
Think these two girls have wayyy to many tickets kn themselves   #PromoGirls #promogirls i think not,1
If only this Sasquatch had wings to help these girls fly out of the whole they've dug for themselves  @mykitchenrules,1
If only this Sasquatch had wings to help these girls fly out of the whole they've dug for themselves  @mykitchenrules,1
"""Classy and elegant"" is one way of putting it... ",1
"""Classy and elegant"" is one way of putting it... ",1
Oh yeah Colin! Smash those girls! :D ,1
Kel the butcher has never heard of these silly sausages on  http://t.co/CHGKB1rirW,1
"@mykitchenrules Did Stevie Wonder choose these ""models""? ",1
2015  why do they keep saying that they are so pretty,1
2015  why do they keep saying that they are so pretty,1
Is  sexist then? Four of the six teams in the fourth instant restaurants are an all-female team.,1
Is  sexist then? Four of the six teams in the fourth instant restaurants are an all-female team.,1
 anyone can cook from a can girls.,1
 anyone can cook from a can girls.,1
"""We want everyone to know we are not just pretty faces"" noone said they were pretty though 😒 ",1
why is their whole menu dick related?!?!?! ,1
why is their whole menu dick related?!?!?! ,1
This is supposed to be a fucking cooking show not a bunch of faggots walking stupidly down a runway #cringeworthy ,1
 you'd think in her downtime Annie would have paid Napoléon Perdis a visit and learnt not to use the same coloured blush as your hair...,1
 you'd think in her downtime Annie would have paid Napoléon Perdis a visit and learnt not to use the same coloured blush as your hair...,1
Kim Kardashian's husband will grow his dick back by the time this series finishes. ,1
What a riveting little lesson in walking the catwalk. Thanks ladies ,1
What a riveting little lesson in walking the catwalk. Thanks ladies ,1
"The missus loves  if I have to watch five more minutes of these stuck up, idiotic, 2 bit hookers I'll neck myself. #goingtobed",1
yeah colin would be looking for more fat in his sausage.... ,1
yeah colin would be looking for more fat in his sausage.... ,1
Gay fiancé is not going to cope being away from the fresh meat ,1
Gay fiancé is not going to cope being away from the fresh meat ,1
Deb better be there tonight or  can fuck me hard with a rusty chainsaw and call it mary....,1
“@CarlyandTresne: Really!!! Really!!! Another round!!  those butcher promo girls better be nice to Sheri and Emilie.” Yes OR else,1
“@CarlyandTresne: Really!!! Really!!! Another round!!  those butcher promo girls better be nice to Sheri and Emilie.” Yes OR else,1
"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls'   2015",1
"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls'   2015",1
Will those killer blondes kill the whole dinner ,1
Will those killer blondes kill the whole dinner ,1
Aww I was looking forward to Ash and Camilla butting heads with the promo girls. The drama would've been great ,1
Absolutely #blondemoment ,1
Absolutely #blondemoment ,1
Sorry but #JessieJ on #thevoiceau is being a real cunt. You're not all that.,1
So bummed the dull chicks on  are using such a great name for their restaurant. #Sassy #Iamlatetothepartytonight #IQ,1
So bummed the dull chicks on  are using such a great name for their restaurant. #Sassy #Iamlatetothepartytonight #IQ,1
RT @FakeToniaTodman: My deconstructed tart joke from the last season of  http://t.co/10LPgtdopB,1
RT @SimpsonMatt: Kim Kardashian has had marriages that didn't stretch as long as ,1
"RT @Dazzling19: Just me, or hot blondes on  not at all hot?? Just average!",1
"RT @stweet_heart: Did she really just tell them that in order to walk you just 'put one foot in front of the other'?

 http://t.co/x84K…",1
RT @fee_bee_63: Who was responsible for convincing these girls they were so pretty? ,1
RT @Jdubzlad: @mykitchenrules did you find Katie and Nikki in the line for Mt Druitt's next top model? ,1
@Weeezza Gosh I dislike those two girls. They just aren't hot either. ,1
Katie's a fatty!! Model!!!! Hahahaha  #killerblondes,1
"Out of the two blondes, which one is Beavis and which is Butthead ",1
I've kind of missed Annie's batshit crazy weirdness ,1
Y'all made one point more... Calm your tits ,1
"I don't think I can sit through any more of those blonde slags. This might be me, breaking up with you, .",1
 The blonde in red has breeders hips in that dress. Model my arse!,1
These girls are acting like they put up three good dishes! Reality check use didn't! Get off that high horse!! ,1
I want to see the butchered girls go up against the Texan (who has male sass) and his daughter (who is actually good looking) ,1
"this is total  BS - I don't know if  I can stand anymore of the Butchers of Bimbo.
weaning off ",1
He saved them cause he wants to bang them ,1
 never met a promo girl that we wars a full length dress.,1
It's obvious the blonde bimbos make better TV according to Channel 7. Shit cooks ,1
They're staying...just so that the producers can have a showdown between them and the posh bitches  #bringit,1
" do the blondes keep pronouncing ""porno models"" incorrectly ? Actually that's harsh, sorry to all the ladies in the porn biz !",1
"""Seeing as you two think this is a modelling competition and not a cooking competition, I give you two a score of -10 for your looks."" ",1
"Do you get it, you Blondes ........... ",1
"""Your sausage was a little bit short"" bet Colin's been told that before ",1
These girls should know skinny sausages are no fun at all. ,1
well ya standards are pretty low bitch ,1
"Colin will save them. They're pretty blondes, as they keep telling us. ",1
Unfortunately your sausage was a little bit short... ,1
"RT @fleurybanery: @amsatweet I'm evil lol they are not models, they hand out free crap in. Night clubs lol  #slaggyNOTsassy",1
 I'd score the bimbos a 2 for their instant restaurant just because their personalities suck,1
Sassy? Gurls you ain't sassy. More like bitchy. ,1
My kitchen rules or my vagina rules?  http://t.co/CXXgcf1MHl,1
"Katie and Nikki, nice from afar but far from nice ",1
There's no real technique to the dishes being served up by these blonde bimbos on . Chuck together + hope for the best.,1
"RT @Former_legend: That kitchen looks like they've re-enacted '2 Girls, 1 Cup'.

",1
I've finally figured out what she models.  camel toes.  http://t.co/zY9bC5KjDZ,1
"@amsatweet I'm evil lol they are not models, they hand out free crap in. Night clubs lol  #slaggyNOTsassy",1
"RT @furrybugga:  ah girls, you are dumb if you really believe you have pretty faces.",1
"Promo ""models"" are the dangle berry of the modeling world. Shit. ",1
"""We proved that we're not just pretty faces"". Oh Nikki you proved that when you first appeared on TV. ",1
correction  katie and nikki are really the dumb blonde ones,1
"""We're not just the dumb blondes with the pretty faces"" you're certainly not the second part anyway ",1
"""We've proven we're not just dumb blondes and pretty faces."" True, not ""just""... ",1
 Dumb blondes with pretty faces ? Well you got that half right girls :),1
Question is.... are they pretty?  ,1
You've just proved that you are two blondes with fucked up faces!!,1
Dumb blondes with pretty faces..? ,1
#killerblondes more like #dumblondes ,1
"Love a subtle menu. Sausage, spatchCOCK, tart. Perfect.  #whereisyourdignity",1
RT @_little_old_me: Who are the pretty girls these 2 blonde scrubbers keep talking about? ,1
If it's rigged like every other year the Nasty girls will get through for ratings ,1
 #killerblondes the only way these girls are staying is if they blow every bloke in the room. So they're still in with a shot.,1
"I was so hoping the girls were going to pull something out. And they did, a breast. Slightly unexpected. ",1
 nikki has hot teeth,1
Are you kidding me? These girls on  didn't cook their own tomatoes or peppers?!?,1
Just want to slap the stupid out of these bimbos!!! ,1
7% of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert. #KillerBlondes ,1
Colin was pretty nice to the girls. Do you think he's giving them the dick? ,1
"RT @lukeyook: If they think that dessert is refined and beautiful, now wonder they think they are pretty. ",1
FFS a can opener is too technical for the skanky hoes ,1
These girls are fucktards!! ,1
"RT @finicalgal: Nicki explains the complexities of catwalk modelling: ""You have to place one foot in front of the other"".
",1
#killerblondes ?? Have the producers lost the plot or have my eyes failed? In what universe are they even remotely hot in?? ,1
" #KillerBlondes @mykitchenrules I don't know what's bigger, her forehead or her ass..?",1
I apologise on behalf of my generation for Nikki and Katie. We aren't all so vapid.  #NikkiandKatie,1
"When I think lemon tart, I think tart lemon. Yes Colin, I see what you did there. ",1
"Katie and Nikki go down. Maybe not well. But down none the less.
",1
"""It's a deconstructed tart like us."" ",1
Tarts for tarts ,1
 The only thing these promo girls are going be able to sell after this episode will be black hair dye #painfulmorons not #killerblondes,1
I don't think any of those 3 dishes had sas they were ugly !! Just like the girls !!!  ,1
So I take it Katie is a plus size model right? ,1
These chicks promo in porn. 'Fat girls need fucking too'. ,1
RT @missgypsyck: Sassy.. More like trashy 2015 ,1
"I almost hope someone at the table mocks the #KillerBlondes because their deconstructed lemon tart looks like crap ""just like us"" ",1
@breeannamclovin cock for main and extra tart for pudding... Think they're trying subliminal messaging?  #subtleasasledgehammer,1
 Perhaps if the girls had spent less time looking in &amp,1
Why does it look like her pants are falling down or are they tights as pants? ,1
2015  I don't think these girls can cook. Also pls stop the duck face,1
Sassy.. More like trashy 2015 ,1
Promo girls?! What do they promo??? Gloves and gumboots? #3outof10  2015,1
Refined &amp,1
Hate these blonde bitches already ,1
Deconstructed tart by lazy tarts  ,1
"This desert is a hot mess...like its makers, minus the hot ",1
"since when does the hill at the footy count as a catwalk? isnt that what a promo girl is, pimping out jim beam at the footy? ",1
"These girls say they're butchers, I once worked at a boat hire shop so I must be a ship captain ",1
@Shaunnagh just saw your tweet on !! These bimbos should go!,1
Hope the blonde cows don't make it through! ,1
Yeah I can't see her sporting Victoria's Secret wings anytime soon.    ,1
These two blondes are not skinny enough to be models.  ,1
Lol bitch please... ,1
And now for the dish that best represents the girls...... A big deconstructed TART  ,1
I didn't know they were models ,1
Its not the only thing she's done a lot of I'm guessing  ,1
"RT @exposerealitytv: The ""promo girls"" should be on cigarette packets smiling then everyone would quit ",1
 pretty sure that's how all the chicks walk at Mt Druitt Westpoint,1
Really bitch really? Get on the runway and back in the kitchen 2015 ,1
Zebra undies  chic in pink dress,1
"RT @HajiIshak1: RT @deaannnaa_:Katie and Nikki are frkn annoying stfu  you're not even hot lol stop
 RT:@.vid.http://t.co/cRzO2P219y",1
Oh my lord... #blondemomentforthe #KillerBlondes @mykitchenrules ,1
"When her hands get sore, she finds another way to get the job done... ",1
these two take dumb blonde to a a new level  2015,1
RT @PatriceChienne: Everything is deconstructed. They're no good at erections then? ,1
"Yes, you put in the wrong way. Cue dumb blonde jokes. ",1
OMG I just knew they were dumb!!! No common sense or brains ,1
Will this tart be the deconstructing of the #sassy girls? @MKR_Official  @TVWEEKmag,1
Hahahahaha blonde moment! ,1
"That kitchen looks like they've re-enacted '2 Girls, 1 Cup'.

",1
WHAT A DUMB BITCH ,1
Jesus how dumb can you get ,1
"Katie &amp; Nikki's next job will be playing ""people who stuff up simple tasks"" on Infomercials ",1
There just horrible #lemontarts ,1
RT @prprau:  Tart. Lol.,1
"RT @mykitchenrules: Come on #Barbie, let's go party! #KillerBlondes ",1
"Put a bra on Nikki, you dumb slut  2015",1
@EloisePeace haha and that is all they are good at ,1
These girls need to go. Their vanity is making me ill. Very unattractive ,1
"We're being punked, right? They've actually never been in a kitchen before except to microwave their Veet.  #KillerBlondes",1
RT @LisaStanbridge: Nikki's pouting is annoying me. I'm ready to wipe it off and kick her off the show! ,1
"RT @PatriceChienne: Deconstructed lemon tart, because we're too bloody lazy and incompetent to do it properly? ",1
 Tart. Lol.,1
#meatgirls bamboozled by a can opener and the sorbet churner #promogirls for Danis direct ,1
RT @GohJarrod: Nikki has massive #armpitvaginas ,1
"RT @danhickey2199:  #killerblondes fat arms, bad teeth and a MASSIVE arse what the hell is that Katie a promo girl/model of?",1
Everything is deconstructed. They're no good at erections then? ,1
More egos and arrogance than that pink room can handle in  tonight.,1
I carnt  see  the  pretty..... I think they quite ugly  ... promo making out they'll go    think it will be tony and lynne   ,1
"I scream ""WHAT A DUMB CUNT"" at the contestants on  way too much for someone who just over-salted a cucumber.",1
Nikki has massive #armpitvaginas ,1
Drasco u are not a chef just a wanka! One day your misses will ask her self what the fuck am i doing with this dick? ,1
"""Crumble, curd and cream"" - a description of the girls' dessert but also their reaction to Collin's inevitable scathing review.
",1
Over the duck lips ,1
That Emma chick from  is a total #BumnyBoiler,1
"RT @candycandyilove: And for dessert, a dropped pie -like Katie's face 2015 ",1
RT @RobinRiedstra: Don't overthink it girls. Just stick out a can of cool whip and a banana. ,1
"And for dessert, a dropped pie -like Katie's face 2015 ",1
"LoL - sausage, cock and end it with a tart! - best suited theme for these two ",1
"Better try harder blondes
",1
"RT @Gyutoki: Oh Katie and Nikki, just because you're both (bottle) blondes that doesn't automatically make you pretty.  2015",1
I think Drasco just offered Colin an old fashioned wristy  ,1
 the only thing funnier than an upside down ice cream maker insert?  When my brother's ex wife admitted to burning water.,1
Girls claiming they're hot generally have an overinflated view of themselves! ,1
These girls are either hand or feet models ,1
Katie is all sASS   ,1
 praying these two bloody bimbos will leave the comp in the next round,1
With a bit of luck Nikki can do some promo work for a dentist and get some free whitening gel. ,1
"Big difference between Sassy and Trashy. Sorry girls, you couldn't even work a can opener. @mykitchenrules  #mykitchenrules",1
"Already sick of hearing ""pretty""  2015",1
"These two need to be in the dictionary under ""Gen Y"" ",1
Katie's eyebrows are still terrible BTW  2015,1
"Oh Katie and Nikki, just because you're both (bottle) blondes that doesn't automatically make you pretty.  2015",1
Who told these fucking girls they were hot  #cuntofahead,1
RT @PoshLopez: I wonder which of the blonde molls screwed Colin to get that score? Probably both. ,1
So Kat got a new decent hair cut then ,1
RT @GlobeAlone: I was sure they'd roll Lynn out like Violet Beauregarde  http://t.co/CE3ohCaWrK,1
RT @EmilyyLam: The highest score in history better be not be the blondes or Kat.  2015,1
"Tonight's  confirms the casting people trawl the dark depths of the seriously delusional, the supremely misguided &amp; plain rotten cooks.",1
@colinfassnidge you've lost yr credibility- 7 for that junk main? Marking models soft after acting tough so long? Poor show  #sellingout,1
@lilbeastunleash cos that's all they suck to get their jobs ,1
RT @FakeToniaTodman: Drasko takes a peek out of the closet then Bianca pushes him back in. ,1
@ange_wilson @henryivpartii I mean otherwise we would be on  or the like fapping on about how sassily fantabulous we are #simplygorge,1
" why do all these people WANT to cook for a living? Don't they realise it's another chore, just more housework? It's fun once or twice &gt;",1
@IrinaLV143 Everybody get a little greasy on ,1
Dumb blondes with pretty faces? You're definitely right on one of those statements... Guess which one...  ,1
"RT @PeteHattam: According to Holly from Geordie Shore, ""Sassy - halfway between slut and classy""  2015",1
@mykitchenrules Steve. Drasko is the male equivalent of those faux models wannabe... ,1
Oh look get the vacuum there's crumbs on that plate that need sucking up... Hey promo girls that's part of your job description.. ,1
"RT @missclarolyn: You didn't give me a deconstructed lemon tart, but have a 7 anyway, for the item that wasn't on the menu ",1
Look mum.. Left right left right.. I'm a model.. No sweetie you're a promo girl... Here's your bikini go sell some shots! ,1
RT @FakeToniaTodman: Another fucking instant restaurant round? Fuck. ,1
"Promo girl ""Katie"" calls her stuff ""spajacock"" and ""mascaronie"" ... Never cooked before. Why has @channel7 even picked them? ",1
"According to Holly from Geordie Shore, ""Sassy - halfway between slut and classy""  2015",1
Cant believe the blonde bimboz made it through.That sausage looked like feces ,1
 and for being blonde i give you my 6inches hey colin.     What a bullshit menu and lack of talent .,1
This Colin guy is a tool... how rigged is the scoring?!! 7's for main and dessert?? How ridiculous based on past scores. ,1
of course they keep the girls hat cause drama could see that coming a mile off ,1
Colin likes moist thighs.. Preferably of the promo type... ,1
These girls really put the ASS in sass ,1
Colin says the meat in the thigh was moist &amp,1
A 3 . . . suck on that whores ,1
"You in the red dress . . . No, just no! ANd you in the pink si not much better. ",1
Still moist and juicy... Let's take a selfie.. ,1
" Katie &amp; Nikki are atrocities, but Kat &amp; Andre would be the ones leaving if they had scored the promoskanks fairly. Kat has no dignity.",1
"Damn Kat &amp; Andre sneak through, would much rather Katie &amp; Nikki had gotten through  #damnukat",1
RT @syazlicious: Best describes Kat and Andre  http://t.co/Qaa6BWi4PM,1
"How do you sleep at night, Kat? You. Cunt.  2015",1
"Kat may be a bitch but let's be honest, the blondes weren't too far behind ",1
Seriously Nikki. Keep your arms down to hide the bingo wings and back flab. EEEE 2015   #mykitchenrules,1
Stop smirking you vile bitch ,1
"Omfg ""taste and swallow"". Quote. Of. The. Year. 2015  #mykitchenrules",1
@mykitchenrules oh so the two dreadful critical human beings in reality TV can't cook to save a life. Kick these 2 bimbos to the curb ,1
I'm annoyed to have missed this live. Need some bitchy. 2015 #mykitchenrules ,1
" ""If I could score them a zero then I would because I'm a super slut"". #cheats #irritate #ratingsbonanza #uglycow http://t.co/vJv8DCRqcQ",1
*cough* slut *cough ,1
"RT @oohlahlah09: LOVE Debra and Eva, and Sheri and Emilie! Such beautiful souls.  Will Sheri and Eva ever kiss?",1
Fuck off Kat! Douchebag.  #bitchy,1
" AUS This will be my face when your nasally, bogan head is banished from my TV! #superbogan #cheats #ihateyou http://t.co/2PNnMR0r5f",1
 #qldbesties Sheri if you don't swallow that fine but Ill drink lots pineapple juice,1
"Neither girls can cook to save themselves, Nikki just wants her face on camera, 15 minutes of fame ",1
"Go fuck yourself Kat, stupid slut  #nofucksgiven",1
BULLSHIT! Kat &amp,1
Yes Kat and Andre were unsportsmanlike but even if they scored 3 or 4 like everyone else the bimbos still wouldn't have got through ,1
STFU KAT YA BITCH! ,1
RT @Itsjust55496420: Annie looks like a mouse ,1
"I swear to fuckin god kat and Andre are the worst ever contestants, kat is such a little bitch a 1 is so unfair ",1
RT @Itsjust55496420: Go hot girls!!! ,1
Jeans were a bit tight tonight Andre ???  @mykitchenrules 2015,1
Wtf Kat and Andre are cheaters! THAT IS SO UNFAIR. THEY CANNOT GIVE SOMEONE 1. THEY SHOULD BE GONE.  #katandandre #byebye #bitches,1
Yup there still hot blondes ,1
The major coincidence in the score that Kat &amp,1
Karma will fuck you in the ass and cum all over back Kat ,1
MiddleInformer: RT benpobjie: Credit to Kat: she puts a hell of a lot more effort into badmouthing others than she does her cooking ,1
"@mykitchenrules How about next season you hold off on the scores until all the teams have cooked, so strategy plays no part. Food does. ",1
"Stick it up em Kat, you're the sort of bitch that really makes the show ",1
"Kat you are a fucking cunt rash, a deadset fucking thundercunt rash ",1
"RT @FakeToniaTodman: If Kat stays, we can watch her descent into meth induced insanity. ",1
"I hope these blonde girls make it thru, not great cooks but they aren't as judgemental as that WA lady ",1
"In Australia, we have always had tall poppy syndrome. Since when did sabotage and bitchy behaviour get you on national TV??   2015",1
Ahh Manu well said! Just cook good food and you'll be OK. Simples! Back in ya box bitch Kat ,1
Katie &amp,1
"""We're still two young, hot blondes""... well you're young...",1
Cat you're an ugly and mean bitch! You miss can go fuck yourself! ,1
Manu - you're beautiful ,1
Annie is really excited about eating the carrots cause they match her hair purfectly #ginga ,1
"Kat calls it strategic, I call it being a biatch!  http://t.co/zVCx6kVAIV",1
Following Kat &amp,1
#CuntAndAndre #CuntAndAndre #CuntAndAndre  biggest FLOGS the show has ever had on it. EVER!! #CANTCOOK  #FUCKOFF #KatAndAndre,1
The blondes will get through cause they are young and can suck... Hard! ,1
@DustyPee @MrTimothyKaye I think the hashtag got some traction. #cuntandandre ,1
"Next week n New Idea, Lloyd and Drasko's secret sex romp ",1
That judge whatever his name needs to stop the fake tan. He is literally ORANGE ,1
OMG the sluts are going to get through ,1
" Lloyd likes some thick juicy pork, poor Annie",1
"RT @DustyPee: If #cuntandandre make it through, I'll... I don't know what I will do. ",1
I have a stupid man crush on Lloyd and I can't help it. 2015  #sexylloydmkr,1
RT @syazlicious: The truth behind another elimination round...to get rid of #cuntandandre ,1
Borrowed time #CuntAndArsehole cant wait for you to get blown away by the decent teams. #FirstElimination #BeatItDogs  #KatAndAndre,1
Kat looks like medusa tbh + that ugly personality to top it off . ,1
"RT @jgray0711: Get Gordon Ramsay on there he'll sort #cuntandandre out
",1
@wedancedonce  purposely pick slightly unattractive girls who're besotted with themselves. Makes good television lol,1
RT @k_yah: Don't you dare put in the water works Kat!! You're evil!! #cuntandandre ,1
Why does kat always need to make big eyes? You freak me out witch ,1
Kat the #CuntFaceBitch  lives to fight on. http://t.co/ngtgO2U85R,1
Kind of want to jump through my TV and punch Kat in the face. Hope other contestants vote strategically for her now. #bitch ,1
KAT IS A FUCKING CUNT ,1
